"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00258/01";"Agenda of the Noise Emission Committee meeting for the Environmental Noise Directive (2002/49/EC) on 7 May 2008";"C12900";"CMTD(2008)0104";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=120&DS_ID=258&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=258&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00143/02";"Agenda of the Standing committee on the food chain and animal health - Biological safety on the food chain section - 22 April 2008";"C20404";"CMTD(2008)0063";"22/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=79&DS_ID=143&Version=2";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=143&version=2&AttLang=en&db_number=1&docType=AGENDA"
"D00143/02";"Addendum to the agenda of the Standing committee on the food chain and animal health - Biological safety on the food chain section - 22 April 2008 ";"C20404";"CMTD(2008)0063";"22/04/2008";"22/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=79&DS_ID=143&Version=2";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=143&version=2&AttLang=en&db_number=2&docType=AGENDA"
"D00160/01";"Agenda de la 42ème réunion du Comité de Gestion des Fibres Naturelles ";"C05400";"CMTD(2008)0060";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=76&DS_ID=160&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=160&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00167/01";"JOINT MEETING  OF THE  STANDING COMMITTEE ON MEDICINAL PRODUCTS FOR HUMAN USE  AND OF THE  STANDING COMMITTEE ON VETERINARY MEDICINAL PRODUCTS  REVISION OF THE 'VARIATIONS' REGULATIONS  ";"C02500";"CMTD(2008)0068";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=84&DS_ID=167&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=167&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00156/01";"Addendum";"C35000";"CMTD(2008)0043";"14/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=59&DS_ID=156&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=156&version=1&AttLang=en&db_number=2&docType=AGENDA"
"D00169/01";"JOINT MEETING  OF THE  STANDING COMMITTEE ON MEDICINAL PRODUCTS FOR HUMAN USE  AND OF THE  STANDING COMMITTEE ON VETERINARY MEDICINAL PRODUCTS  REVISION OF THE 'VARIATIONS' REGULATIONS  ";"C02900";"CMTD(2008)0069";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=85&DS_ID=169&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=169&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00172/01";"Revision of the Variations Regulations - Meeting of 2 June 2008 - agenda";"C02500";"CMTD(2008)0071";"02/06/2008";"02/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=87&DS_ID=172&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=172&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00173/01";"Meeting 2 June 2008 agenda";"C02900";"CMTD(2008)0072";"02/06/2008";"02/06/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=88&DS_ID=173&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=173&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00174/01";"Meeting of the Energy Configuration of the Cooperation Specific Programme Committee (Energy Committee) -24 April 2008 - Draft agenda";"C32005";"CMTD(2008)0073";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=89&DS_ID=174&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=174&version=1&AttLang=en&db_number=1&docType=AGENDA"
